Edit Distances,MSE,MAD
0_0,0.013,0.049
0_1,0.013,0.049
0_10,0.013,0.049
0_11,0.013,0.049
0_12,0.013,0.049
0_13,0.013,0.049
0_14,0.013,0.049
0_15,0.013,0.049
0_2,0.013,0.049
0_3,0.013,0.049
0_4,0.013,0.049
0_5,0.013,0.049
0_6,0.013,0.049
0_7,0.013,0.049
0_8,0.013,0.049
0_9,0.013,0.049
10_0,0.019,0.058
10_1,0.048,0.085
10_10,0.115,0.151
10_11,0.115,0.151
10_12,0.115,0.151
10_13,0.115,0.151
10_14,0.115,0.151
10_15,0.115,0.151
10_2,0.054,0.09
10_3,0.064,0.1
10_4,0.066,0.102
10_5,0.066,0.102
10_6,0.066,0.102
10_7,0.066,0.102
10_8,0.066,0.102
10_9,0.115,0.151
11_0,0.019,0.058
11_1,0.048,0.085
11_10,0.117,0.153
11_11,0.117,0.153
11_12,0.117,0.153
11_13,0.117,0.153
11_14,0.117,0.153
11_15,0.117,0.153
11_2,0.054,0.09
11_3,0.064,0.1
11_4,0.066,0.102
11_5,0.066,0.102
11_6,0.066,0.102
11_7,0.066,0.102
11_8,0.066,0.102
11_9,0.117,0.153
12_0,0.019,0.058
12_1,0.048,0.085
12_10,0.117,0.153
12_11,0.117,0.153
12_12,0.117,0.153
12_13,0.117,0.153
12_14,0.117,0.153
12_15,0.117,0.153
12_2,0.054,0.09
12_3,0.064,0.1
12_4,0.066,0.102
12_5,0.066,0.102
12_6,0.066,0.102
12_7,0.066,0.102
12_8,0.066,0.102
12_9,0.117,0.153
13_0,0.019,0.058
13_1,0.048,0.085
13_10,0.117,0.153
13_11,0.117,0.153
13_12,0.117,0.153
13_13,0.117,0.153
13_14,0.117,0.153
13_15,0.117,0.153
13_2,0.054,0.09
13_3,0.064,0.1
13_4,0.066,0.102
13_5,0.066,0.102
13_6,0.066,0.102
13_7,0.066,0.102
13_8,0.066,0.102
13_9,0.117,0.153
14_0,0.019,0.058
14_1,0.048,0.085
14_10,0.117,0.153
14_11,0.117,0.153
14_12,0.117,0.153
14_13,0.117,0.153
14_14,0.117,0.153
14_15,0.117,0.153
14_2,0.054,0.09
14_3,0.064,0.1
14_4,0.066,0.102
14_5,0.066,0.102
14_6,0.066,0.102
14_7,0.066,0.102
14_8,0.066,0.102
14_9,0.117,0.153
15_0,0.019,0.058
15_1,0.048,0.085
15_10,0.117,0.153
15_11,0.117,0.153
15_12,0.117,0.153
15_13,0.117,0.153
15_14,0.117,0.153
15_15,0.117,0.153
15_2,0.054,0.09
15_3,0.064,0.1
15_4,0.066,0.102
15_5,0.066,0.102
15_6,0.066,0.102
15_7,0.066,0.102
15_8,0.066,0.102
15_9,0.117,0.153
16_0,0.019,0.058
16_1,0.048,0.085
16_10,0.117,0.153
16_11,0.117,0.153
16_12,0.117,0.153
16_13,0.117,0.153
16_14,0.117,0.153
16_15,0.117,0.153
16_2,0.054,0.09
16_3,0.064,0.1
16_4,0.066,0.102
16_5,0.066,0.102
16_6,0.066,0.102
16_7,0.066,0.102
16_8,0.066,0.102
16_9,0.117,0.153
1_0,0.013,0.049
1_1,0.019,0.055
1_10,0.019,0.055
1_11,0.019,0.055
1_12,0.019,0.055
1_13,0.019,0.055
1_14,0.019,0.055
1_15,0.019,0.055
1_2,0.019,0.055
1_3,0.019,0.055
1_4,0.019,0.055
1_5,0.019,0.055
1_6,0.019,0.055
1_7,0.019,0.055
1_8,0.019,0.055
1_9,0.019,0.055
2_0,0.013,0.051
2_1,0.019,0.057
2_10,0.056,0.094
2_11,0.056,0.094
2_12,0.056,0.094
2_13,0.056,0.094
2_14,0.056,0.094
2_15,0.056,0.094
2_2,0.019,0.057
2_3,0.019,0.057
2_4,0.019,0.057
2_5,0.019,0.057
2_6,0.019,0.057
2_7,0.019,0.057
2_8,0.019,0.057
2_9,0.056,0.094
3_0,0.019,0.058
