Edit Distances,MSE,MAD
0_0,0.062,0.152
0_1,0.062,0.152
0_10,0.062,0.152
0_11,0.062,0.152
0_12,0.062,0.152
0_13,0.062,0.152
0_14,0.062,0.152
0_15,0.062,0.152
0_2,0.062,0.152
0_3,0.062,0.152
0_4,0.062,0.152
0_5,0.062,0.152
0_6,0.062,0.152
0_7,0.062,0.152
0_8,0.062,0.152
0_9,0.062,0.152
10_0,0.063,0.154
10_1,0.073,0.163
10_10,0.079,0.158
10_11,0.079,0.158
10_12,0.079,0.158
10_13,0.079,0.158
10_14,0.079,0.158
10_15,0.079,0.158
10_2,0.077,0.167
10_3,0.078,0.167
10_4,0.071,0.15
10_5,0.072,0.151
10_6,0.072,0.152
10_7,0.072,0.152
10_8,0.073,0.152
10_9,0.079,0.158
11_0,0.063,0.155
11_1,0.073,0.163
11_10,0.081,0.16
11_11,0.081,0.16
11_12,0.081,0.16
11_13,0.081,0.16
11_14,0.081,0.16
11_15,0.081,0.16
11_2,0.077,0.167
11_3,0.079,0.168
11_4,0.072,0.151
11_5,0.073,0.153
11_6,0.074,0.153
11_7,0.074,0.153
11_8,0.075,0.154
11_9,0.081,0.16
12_0,0.064,0.155
12_1,0.073,0.163
12_10,0.082,0.161
12_11,0.082,0.161
12_12,0.082,0.161
12_13,0.082,0.161
12_14,0.082,0.161
12_15,0.082,0.161
12_2,0.078,0.168
12_3,0.079,0.168
12_4,0.072,0.152
12_5,0.074,0.154
12_6,0.075,0.154
12_7,0.075,0.154
12_8,0.076,0.155
12_9,0.082,0.161
13_0,0.064,0.155
13_1,0.073,0.163
13_10,0.084,0.163
13_11,0.084,0.163
13_12,0.084,0.163
13_13,0.084,0.163
13_14,0.084,0.163
13_15,0.084,0.163
13_2,0.078,0.168
13_3,0.079,0.168
13_4,0.072,0.152
13_5,0.076,0.156
13_6,0.077,0.156
13_7,0.077,0.156
13_8,0.078,0.157
13_9,0.084,0.163
14_0,0.064,0.155
14_1,0.073,0.164
14_10,0.086,0.166
14_11,0.086,0.166
14_12,0.086,0.166
14_13,0.086,0.166
14_14,0.086,0.166
14_15,0.086,0.166
14_2,0.078,0.168
14_3,0.08,0.169
14_4,0.073,0.153
14_5,0.077,0.157
14_6,0.079,0.158
14_7,0.079,0.158
14_8,0.08,0.159
14_9,0.086,0.166
15_0,0.064,0.156
15_1,0.073,0.164
15_10,0.096,0.176
15_11,0.096,0.176
15_12,0.096,0.176
15_13,0.096,0.176
15_14,0.096,0.176
15_15,0.096,0.176
15_2,0.079,0.169
15_3,0.08,0.17
15_4,0.074,0.154
15_5,0.084,0.164
15_6,0.087,0.168
15_7,0.088,0.168
15_8,0.09,0.17
15_9,0.096,0.176
16_0,0.064,0.156
16_1,0.073,0.164
16_10,0.097,0.177
16_11,0.097,0.177
16_12,0.097,0.177
16_13,0.097,0.177
16_14,0.097,0.177
16_15,0.097,0.177
16_2,0.079,0.17
16_3,0.081,0.17
16_4,0.075,0.155
16_5,0.084,0.165
16_6,0.088,0.168
16_7,0.088,0.168
16_8,0.09,0.17
16_9,0.097,0.177
1_0,0.062,0.152
1_1,0.063,0.153
1_10,0.063,0.153
1_11,0.063,0.153
1_12,0.063,0.153
1_13,0.063,0.153
1_14,0.063,0.153
1_15,0.063,0.153
1_2,0.063,0.153
1_3,0.063,0.153
1_4,0.063,0.153
1_5,0.063,0.153
1_6,0.063,0.153
1_7,0.063,0.153
1_8,0.063,0.153
1_9,0.063,0.153
2_0,0.062,0.152
2_1,0.064,0.153
2_10,0.07,0.159
2_11,0.07,0.159
2_12,0.07,0.159
2_13,0.07,0.159
2_14,0.07,0.159
2_15,0.07,0.159
2_2,0.064,0.154
2_3,0.065,0.154
2_4,0.065,0.155
2_5,0.065,0.155
2_6,0.065,0.155
2_7,0.065,0.155
2_8,0.065,0.155
2_9,0.07,0.159
3_0,0.063,0.153
3_1,0.065,0.155
3_10,0.071,0.161
3_11,0.071,0.161
3_12,0.071,0.161
3_13,0.071,0.161
3_14,0.071,0.161
3_15,0.071,0.161
3_2,0.065,0.155
3_3,0.066,0.156
3_4,0.067,0.156
3_5,0.067,0.156
3_6,0.067,0.156
3_7,0.067,0.156
3_8,0.067,0.156
3_9,0.071,0.161
4_0,0.063,0.153
4_1,0.068,0.158
4_10,0.066,0.147
4_11,0.066,0.147
4_12,0.066,0.147
4_13,0.066,0.147
4_14,0.066,0.147
4_15,0.066,0.147
4_2,0.069,0.159
4_3,0.07,0.16
4_4,0.06,0.141
4_5,0.06,0.141
4_6,0.06,0.141
4_7,0.06,0.141
4_8,0.06,0.141
4_9,0.066,0.146
5_0,0.064,0.154
5_1,0.07,0.16
5_10,0.068,0.148
5_11,0.068,0.148
5_12,0.068,0.148
5_13,0.068,0.148
5_14,0.068,0.148
5_15,0.068,0.148
5_2,0.071,0.161
5_3,0.072,0.161
5_4,0.062,0.142
5_5,0.062,0.142
5_6,0.062,0.142
5_7,0.062,0.142
5_8,0.062,0.142
5_9,0.067,0.148
6_0,0.064,0.154
6_1,0.071,0.161
6_10,0.07,0.15
6_11,0.07,0.15
6_12,0.07,0.15
6_13,0.07,0.15
6_14,0.07,0.15
6_15,0.07,0.15
6_2,0.072,0.162
6_3,0.072,0.162
6_4,0.063,0.143
6_5,0.063,0.143
6_6,0.063,0.143
6_7,0.063,0.143
6_8,0.063,0.143
6_9,0.069,0.149
7_0,0.064,0.154
7_1,0.071,0.162
7_10,0.072,0.152
7_11,0.072,0.152
7_12,0.072,0.152
7_13,0.072,0.152
7_14,0.072,0.152
7_15,0.072,0.152
7_2,0.074,0.164
7_3,0.075,0.164
7_4,0.066,0.146
7_5,0.066,0.146
7_6,0.066,0.146
7_7,0.066,0.146
7_8,0.066,0.146
7_9,0.072,0.152
8_0,0.064,0.154
8_1,0.069,0.16
8_10,0.073,0.153
8_11,0.073,0.153
8_12,0.073,0.153
8_13,0.073,0.153
8_14,0.073,0.153
8_15,0.073,0.153
8_2,0.072,0.163
8_3,0.074,0.163
8_4,0.065,0.146
8_5,0.066,0.146
8_6,0.066,0.147
8_7,0.066,0.146
8_8,0.067,0.147
8_9,0.072,0.152
9_0,0.064,0.154
9_1,0.073,0.163
9_10,0.079,0.158
9_11,0.079,0.158
9_12,0.079,0.158
9_13,0.079,0.158
9_14,0.079,0.158
9_15,0.079,0.158
9_2,0.077,0.166
9_3,0.078,0.167
9_4,0.071,0.15
9_5,0.072,0.151
9_6,0.072,0.152
9_7,0.072,0.151
9_8,0.073,0.152
9_9,0.079,0.158
