Question, -1.0, -0.75, -0.6, -0.5, -0.38, -0.25, 0.0, 0.12, 0.25, 0.5, -0.55, -0.05, 0.75, 0.38, -0.88, 0.2, 0.62, 1.0, -0.12, 0.15, 0.88
IPC033-289 v1,1.0,8.0,1.0,1.0,2.0,48.0,50.0,27.0,108.0,1.0,,,,,,,,,,,
IPC033-290 v1,,6.0,,,,15.0,118.0,6.0,88.0,,1.0,1.0,17.0,,,,,,,,
IPC033-291 v1,1.0,,,,,,94.0,3.0,96.0,48.0,2.0,7.0,,2.0,,,,,,,
IPC033-292 v1,,1.0,,,,,180.0,1.0,8.0,2.0,2.0,39.0,17.0,,1.0,1.0,1.0,1.0,,,
IPC033-293 v1,,,,,,1.0,170.0,1.0,7.0,2.0,1.0,42.0,29.0,,,,,,1.0,,
IPC033-294 v1,,,,,,1.0,143.0,1.0,24.0,4.0,5.0,26.0,43.0,,,,,4.0,,1.0,2.0
IPC033-295 v1,,,,,,,202.0,,28.0,,,,19.0,,,,,2.0,,,3.0
IPC033-309 v1,1.0,,,,,,101.0,17.0,115.0,3.0,2.0,,,,,,,,,,
MSE,0.074,,,,,,,,,,,,,,,,,,,,
MAD,0.154,,,,,,,,,,,,,,,,,,,,
