Edit Distances,MSE,MAD
0_0,0.068,0.153
0_1,0.068,0.153
0_10,0.068,0.153
0_11,0.068,0.153
0_12,0.068,0.153
0_13,0.068,0.153
0_14,0.068,0.153
0_15,0.068,0.153
0_2,0.068,0.153
0_3,0.068,0.153
0_4,0.068,0.153
0_5,0.068,0.153
0_6,0.068,0.153
0_7,0.068,0.153
0_8,0.068,0.153
0_9,0.068,0.153
10_0,0.068,0.155
10_1,0.068,0.155
10_10,0.068,0.155
10_11,0.068,0.155
10_12,0.068,0.155
10_13,0.068,0.155
10_14,0.068,0.155
10_15,0.068,0.155
10_2,0.068,0.155
10_3,0.068,0.155
10_4,0.068,0.155
10_5,0.068,0.155
10_6,0.068,0.155
10_7,0.068,0.155
10_8,0.068,0.155
10_9,0.068,0.155
11_0,0.068,0.155
11_1,0.068,0.155
11_10,0.068,0.155
11_11,0.068,0.155
11_12,0.068,0.155
11_13,0.068,0.155
11_14,0.068,0.155
11_15,0.068,0.155
11_2,0.068,0.155
11_3,0.068,0.155
11_4,0.068,0.155
11_5,0.068,0.155
11_6,0.068,0.155
11_7,0.068,0.155
11_8,0.068,0.155
11_9,0.068,0.155
12_0,0.068,0.155
12_1,0.068,0.155
12_10,0.068,0.155
12_11,0.068,0.155
12_12,0.068,0.155
12_13,0.068,0.155
12_14,0.068,0.155
12_15,0.068,0.155
12_2,0.068,0.155
12_3,0.068,0.155
12_4,0.068,0.155
12_5,0.068,0.155
12_6,0.068,0.155
12_7,0.068,0.155
12_8,0.068,0.155
12_9,0.068,0.155
13_0,0.068,0.155
13_1,0.068,0.155
13_10,0.068,0.155
13_11,0.068,0.155
13_12,0.068,0.155
13_13,0.068,0.155
13_14,0.068,0.155
13_15,0.068,0.155
13_2,0.068,0.155
13_3,0.068,0.155
13_4,0.068,0.155
13_5,0.068,0.155
13_6,0.068,0.155
13_7,0.068,0.155
13_8,0.068,0.155
13_9,0.068,0.155
14_0,0.068,0.155
14_1,0.068,0.155
14_10,0.068,0.155
14_11,0.068,0.155
14_12,0.068,0.155
14_13,0.068,0.155
14_14,0.068,0.155
14_15,0.068,0.155
14_2,0.068,0.155
14_3,0.068,0.155
14_4,0.068,0.155
14_5,0.068,0.155
14_6,0.068,0.155
14_7,0.068,0.155
14_8,0.068,0.155
14_9,0.068,0.155
15_0,0.068,0.157
15_1,0.068,0.157
15_10,0.068,0.157
15_11,0.068,0.157
15_12,0.068,0.157
15_13,0.068,0.157
15_14,0.068,0.157
15_15,0.068,0.157
15_2,0.068,0.157
15_3,0.068,0.157
15_4,0.068,0.157
15_5,0.068,0.157
15_6,0.068,0.157
15_7,0.068,0.157
15_8,0.068,0.157
15_9,0.068,0.157
16_0,0.068,0.157
16_1,0.068,0.157
16_10,0.068,0.157
16_11,0.068,0.157
16_12,0.068,0.157
16_13,0.068,0.157
16_14,0.068,0.157
16_15,0.068,0.157
16_2,0.068,0.157
16_3,0.068,0.157
16_4,0.068,0.157
16_5,0.068,0.157
16_6,0.068,0.157
16_7,0.068,0.157
16_8,0.068,0.157
16_9,0.068,0.157
1_0,0.068,0.153
1_1,0.068,0.153
1_10,0.068,0.153
1_11,0.068,0.153
1_12,0.068,0.153
1_13,0.068,0.153
1_14,0.068,0.153
1_15,0.068,0.153
1_2,0.068,0.153
1_3,0.068,0.153
1_4,0.068,0.153
1_5,0.068,0.153
1_6,0.068,0.153
1_7,0.068,0.153
1_8,0.068,0.153
1_9,0.068,0.153
2_0,0.068,0.153
2_1,0.068,0.153
2_10,0.068,0.153
2_11,0.068,0.153
2_12,0.068,0.153
2_13,0.068,0.153
2_14,0.068,0.153
2_15,0.068,0.153
2_2,0.068,0.153
2_3,0.068,0.153
2_4,0.068,0.153
2_5,0.068,0.153
2_6,0.068,0.153
2_7,0.068,0.153
2_8,0.068,0.153
2_9,0.068,0.153
3_0,0.068,0.153
3_1,0.068,0.153
3_10,0.068,0.153
3_11,0.068,0.153
3_12,0.068,0.153
3_13,0.068,0.153
3_14,0.068,0.153
3_15,0.068,0.153
3_2,0.068,0.153
3_3,0.068,0.153
3_4,0.068,0.153
3_5,0.068,0.153
3_6,0.068,0.153
3_7,0.068,0.153
3_8,0.068,0.153
3_9,0.068,0.153
4_0,0.068,0.153
4_1,0.068,0.153
4_10,0.068,0.153
4_11,0.068,0.153
4_12,0.068,0.153
4_13,0.068,0.153
4_14,0.068,0.153
4_15,0.068,0.153
4_2,0.068,0.153
4_3,0.068,0.153
4_4,0.068,0.153
4_5,0.068,0.153
4_6,0.068,0.153
4_7,0.068,0.153
4_8,0.068,0.153
4_9,0.068,0.153
5_0,0.068,0.153
5_1,0.068,0.153
5_10,0.068,0.153
5_11,0.068,0.153
5_12,0.068,0.153
5_13,0.068,0.153
5_14,0.068,0.153
5_15,0.068,0.153
5_2,0.068,0.153
5_3,0.068,0.153
5_4,0.068,0.153
5_5,0.068,0.153
5_6,0.068,0.153
5_7,0.068,0.153
5_8,0.068,0.153
5_9,0.068,0.153
6_0,0.068,0.153
6_1,0.068,0.153
6_10,0.068,0.153
6_11,0.068,0.153
6_12,0.068,0.153
6_13,0.068,0.153
6_14,0.068,0.153
6_15,0.068,0.153
6_2,0.068,0.153
6_3,0.068,0.153
6_4,0.068,0.153
6_5,0.068,0.153
6_6,0.068,0.153
6_7,0.068,0.153
6_8,0.068,0.153
6_9,0.068,0.153
7_0,0.068,0.153
7_1,0.068,0.153
7_10,0.068,0.153
7_11,0.068,0.153
7_12,0.068,0.153
7_13,0.068,0.153
7_14,0.068,0.153
7_15,0.068,0.153
7_2,0.068,0.153
7_3,0.068,0.153
7_4,0.068,0.153
7_5,0.068,0.153
7_6,0.068,0.153
7_7,0.068,0.153
7_8,0.068,0.153
7_9,0.068,0.153
8_0,0.068,0.153
8_1,0.068,0.153
8_10,0.068,0.153
8_11,0.068,0.153
8_12,0.068,0.153
8_13,0.068,0.153
8_14,0.068,0.153
8_15,0.068,0.153
8_2,0.068,0.153
8_3,0.068,0.153
8_4,0.068,0.153
8_5,0.068,0.153
8_6,0.068,0.153
8_7,0.068,0.153
8_8,0.068,0.153
8_9,0.068,0.153
9_0,0.068,0.153
9_1,0.068,0.153
9_10,0.068,0.153
9_11,0.068,0.153
9_12,0.068,0.153
9_13,0.068,0.153
9_14,0.068,0.153
9_15,0.068,0.153
9_2,0.068,0.153
9_3,0.068,0.153
9_4,0.068,0.153
9_5,0.068,0.153
9_6,0.068,0.153
9_7,0.068,0.153
9_8,0.068,0.153
9_9,0.068,0.153
