Edit Distances,MSE,MAD
0_0,0.071,0.133
0_1,0.071,0.133
0_10,0.071,0.133
0_11,0.071,0.133
0_12,0.071,0.133
0_13,0.071,0.133
0_14,0.071,0.133
0_15,0.071,0.133
0_2,0.071,0.133
0_3,0.071,0.133
0_4,0.071,0.133
0_5,0.071,0.133
0_6,0.071,0.133
0_7,0.071,0.133
0_8,0.071,0.133
0_9,0.071,0.133
10_0,0.07,0.133
10_1,0.08,0.144
10_10,0.049,0.08
10_11,0.049,0.08
10_12,0.049,0.08
10_13,0.049,0.08
10_14,0.049,0.08
10_15,0.049,0.08
10_2,0.09,0.153
10_3,0.09,0.153
10_4,0.051,0.084
10_5,0.053,0.086
10_6,0.049,0.08
10_7,0.049,0.08
10_8,0.049,0.08
10_9,0.049,0.08
11_0,0.07,0.133
11_1,0.08,0.144
11_10,0.049,0.08
11_11,0.049,0.08
11_12,0.049,0.08
11_13,0.049,0.08
11_14,0.049,0.08
11_15,0.049,0.08
11_2,0.09,0.153
11_3,0.09,0.153
11_4,0.051,0.084
11_5,0.053,0.086
11_6,0.049,0.08
11_7,0.049,0.08
11_8,0.049,0.08
11_9,0.049,0.08
12_0,0.07,0.133
12_1,0.08,0.144
12_10,0.051,0.082
12_11,0.051,0.082
12_12,0.051,0.082
12_13,0.051,0.082
12_14,0.051,0.082
12_15,0.051,0.082
12_2,0.09,0.153
12_3,0.091,0.155
12_4,0.053,0.086
12_5,0.055,0.088
12_6,0.051,0.082
12_7,0.051,0.082
12_8,0.051,0.082
12_9,0.051,0.082
13_0,0.07,0.133
13_1,0.08,0.144
13_10,0.051,0.082
13_11,0.051,0.082
13_12,0.051,0.082
13_13,0.051,0.082
13_14,0.051,0.082
13_15,0.051,0.082
13_2,0.09,0.153
13_3,0.091,0.155
13_4,0.053,0.086
13_5,0.055,0.088
13_6,0.051,0.082
13_7,0.051,0.082
13_8,0.051,0.082
13_9,0.051,0.082
14_0,0.07,0.133
14_1,0.08,0.144
14_10,0.051,0.082
14_11,0.051,0.082
14_12,0.051,0.082
14_13,0.051,0.082
14_14,0.051,0.082
14_15,0.051,0.082
14_2,0.09,0.153
14_3,0.091,0.155
14_4,0.053,0.086
14_5,0.055,0.088
14_6,0.051,0.082
14_7,0.051,0.082
14_8,0.051,0.082
14_9,0.051,0.082
15_0,0.07,0.134
15_1,0.08,0.145
15_10,0.056,0.088
15_11,0.056,0.088
15_12,0.056,0.088
15_13,0.056,0.088
15_14,0.056,0.088
15_15,0.056,0.088
15_2,0.09,0.154
15_3,0.092,0.155
15_4,0.053,0.087
15_5,0.055,0.089
15_6,0.051,0.083
15_7,0.052,0.084
15_8,0.056,0.088
15_9,0.056,0.088
16_0,0.07,0.134
16_1,0.081,0.145
16_10,0.056,0.088
16_11,0.056,0.088
16_12,0.056,0.088
16_13,0.056,0.088
16_14,0.056,0.088
16_15,0.056,0.088
16_2,0.09,0.154
16_3,0.092,0.156
16_4,0.053,0.087
16_5,0.055,0.089
16_6,0.051,0.083
16_7,0.052,0.084
16_8,0.056,0.088
16_9,0.056,0.088
1_0,0.071,0.133
1_1,0.071,0.133
1_10,0.071,0.133
1_11,0.071,0.133
1_12,0.071,0.133
1_13,0.071,0.133
1_14,0.071,0.133
1_15,0.071,0.133
1_2,0.071,0.133
1_3,0.071,0.133
1_4,0.071,0.133
1_5,0.071,0.133
1_6,0.071,0.133
1_7,0.071,0.133
1_8,0.071,0.133
1_9,0.071,0.133
2_0,0.071,0.134
2_1,0.073,0.136
2_10,0.075,0.138
2_11,0.075,0.138
2_12,0.075,0.138
2_13,0.075,0.138
2_14,0.075,0.138
2_15,0.075,0.138
2_2,0.075,0.138
2_3,0.075,0.138
2_4,0.075,0.138
2_5,0.075,0.138
2_6,0.075,0.138
2_7,0.075,0.138
2_8,0.075,0.138
2_9,0.075,0.138
3_0,0.071,0.134
3_1,0.075,0.138
3_10,0.079,0.142
3_11,0.079,0.142
3_12,0.079,0.142
3_13,0.079,0.142
3_14,0.079,0.142
3_15,0.079,0.142
3_2,0.077,0.14
3_3,0.077,0.14
3_4,0.079,0.142
3_5,0.079,0.142
3_6,0.079,0.142
3_7,0.079,0.142
3_8,0.079,0.142
3_9,0.079,0.142
4_0,0.07,0.133
4_1,0.076,0.14
4_10,0.042,0.079
4_11,0.042,0.079
4_12,0.042,0.079
4_13,0.042,0.079
4_14,0.042,0.079
4_15,0.042,0.079
4_2,0.078,0.142
4_3,0.078,0.142
4_4,0.042,0.079
4_5,0.042,0.079
4_6,0.042,0.079
4_7,0.042,0.079
4_8,0.042,0.079
4_9,0.042,0.079
5_0,0.07,0.133
5_1,0.078,0.142
5_10,0.042,0.077
5_11,0.042,0.077
5_12,0.042,0.077
5_13,0.042,0.077
5_14,0.042,0.077
5_15,0.042,0.077
5_2,0.08,0.144
5_3,0.08,0.144
5_4,0.042,0.077
5_5,0.042,0.077
5_6,0.042,0.077
5_7,0.042,0.077
5_8,0.042,0.077
5_9,0.042,0.077
6_0,0.07,0.133
6_1,0.078,0.142
6_10,0.041,0.075
6_11,0.041,0.075
6_12,0.041,0.075
6_13,0.041,0.075
6_14,0.041,0.075
6_15,0.041,0.075
6_2,0.08,0.144
6_3,0.08,0.144
6_4,0.041,0.075
6_5,0.041,0.075
6_6,0.041,0.075
6_7,0.041,0.075
6_8,0.041,0.075
6_9,0.041,0.075
7_0,0.07,0.133
7_1,0.078,0.142
7_10,0.049,0.083
7_11,0.049,0.083
7_12,0.049,0.083
7_13,0.049,0.083
7_14,0.049,0.083
7_15,0.049,0.083
7_2,0.086,0.15
7_3,0.086,0.15
7_4,0.049,0.083
7_5,0.049,0.083
7_6,0.049,0.083
7_7,0.049,0.083
7_8,0.049,0.083
7_9,0.049,0.083
8_0,0.07,0.133
8_1,0.08,0.144
8_10,0.051,0.084
8_11,0.051,0.084
8_12,0.051,0.084
8_13,0.051,0.084
8_14,0.051,0.084
8_15,0.051,0.084
8_2,0.09,0.153
8_3,0.09,0.153
8_4,0.051,0.084
8_5,0.051,0.084
8_6,0.051,0.084
8_7,0.051,0.084
8_8,0.051,0.084
8_9,0.051,0.084
9_0,0.07,0.133
9_1,0.08,0.144
9_10,0.053,0.086
9_11,0.053,0.086
9_12,0.053,0.086
9_13,0.053,0.086
9_14,0.053,0.086
9_15,0.053,0.086
9_2,0.09,0.153
9_3,0.09,0.153
9_4,0.053,0.086
9_5,0.054,0.088
9_6,0.054,0.088
9_7,0.054,0.088
9_8,0.053,0.086
9_9,0.053,0.086
