sn_sm_rs,MSE,MAD
0_0_0,0.139,0.141
0_0_2,0.01,0.011
0_0_3,0.013,0.017
0_2_0,0.139,0.141
0_2_2,0.01,0.011
0_2_3,0.01,0.014
0_3_0,0.139,0.141
0_3_2,0.01,0.011
0_3_3,0.011,0.015
2_0_0,0.498,0.5
2_0_2,0.06,0.171
2_0_3,0.031,0.113
2_2_0,0.118,0.258
2_2_2,0.027,0.108
2_2_3,0.015,0.067
2_3_0,0.11,0.212
2_3_2,0.027,0.108
2_3_3,0.02,0.082
3_0_0,0.51,0.523
3_0_2,0.086,0.214
3_0_3,0.042,0.142
3_2_0,0.164,0.33
3_2_2,0.049,0.158
3_2_3,0.024,0.1
3_3_0,0.119,0.266
3_3_2,0.061,0.179
3_3_3,0.041,0.141
