sn_sm_rs,MSE,MAD
0_0_0,0.499,0.521
0_0_2,0.069,0.09
0_0_3,0.075,0.102
0_2_0,0.382,0.403
0_2_2,0.05,0.078
0_2_3,0.053,0.082
0_3_0,0.322,0.364
0_3_2,0.05,0.078
0_3_3,0.053,0.084
2_0_0,0.349,0.37
2_0_2,0.062,0.161
2_0_3,0.066,0.147
2_2_0,0.204,0.371
2_2_2,0.047,0.125
2_2_3,0.052,0.108
2_3_0,0.218,0.353
2_3_2,0.047,0.125
2_3_3,0.052,0.117
3_0_0,0.353,0.379
3_0_2,0.074,0.179
3_0_3,0.068,0.159
3_2_0,0.177,0.359
3_2_2,0.058,0.148
3_2_3,0.057,0.125
3_3_0,0.179,0.347
3_3_2,0.063,0.158
3_3_3,0.061,0.144
