Outcomes,,,Mean squared error,,,,,,,,
Syntax,All,All,289,All,All,All,All,All,All,All,All
0,0.499,0.499,0.153,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499
0,0.069,0.069,0.093,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069
0,0.075,0.075,0.094,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
0,0.382,0.382,0.153,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382
0,0.05,0.05,0.093,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0,0.053,0.053,0.093,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053
0,0.322,0.322,0.153,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322
0,0.05,0.05,0.093,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0,0.053,0.053,0.093,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053
2,0.349,0.349,0.497,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.349
2,0.062,0.062,0.078,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062
2,0.066,0.066,0.068,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066
2,0.204,0.204,0.106,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
2,0.047,0.047,0.067,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047
2,0.052,0.052,0.072,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052
2,0.218,0.218,0.106,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218
2,0.047,0.047,0.067,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047
2,0.052,0.052,0.069,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052
3,0.353,0.353,0.513,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353
3,0.074,0.074,0.097,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074
3,0.068,0.068,0.071,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068
3,0.177,0.177,0.147,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177
3,0.058,0.058,0.074,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058
3,0.057,0.057,0.068,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057
3,0.179,0.179,0.107,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179
3,0.063,0.063,0.08,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063
3,0.061,0.061,0.07,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061
,,,,,,,,,,,
Outcomes,,,Mean average difference,,,,,,,,
Syntax,All,All,289,All,All,All,All,All,All,All,All
0,0.521,0.521,0.205,0.521,0.521,0.521,0.521,0.521,0.521,0.521,0.521
0,0.09,0.09,0.144,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
0,0.102,0.102,0.146,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102
0,0.403,0.403,0.205,0.403,0.403,0.403,0.403,0.403,0.403,0.403,0.403
0,0.078,0.078,0.144,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078
0,0.082,0.082,0.145,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
0,0.364,0.364,0.205,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364
0,0.078,0.078,0.144,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078
0,0.084,0.084,0.145,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084
2,0.37,0.37,0.549,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
2,0.161,0.161,0.215,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161
2,0.147,0.147,0.189,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147
2,0.371,0.371,0.256,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371
2,0.125,0.125,0.187,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2,0.108,0.108,0.169,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108
2,0.353,0.353,0.236,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353
2,0.125,0.125,0.187,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2,0.117,0.117,0.175,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117
3,0.379,0.379,0.579,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379
3,0.179,0.179,0.242,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179
3,0.159,0.159,0.207,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.159
3,0.359,0.359,0.297,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359
3,0.148,0.148,0.215,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148
3,0.125,0.125,0.186,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3,0.347,0.347,0.266,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347
3,0.158,0.158,0.225,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158
3,0.144,0.144,0.206,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144
