Question, -1.0, -0.6, -0.5, 0.0, 0.25, -0.8, 0.75, -0.3, -0.25, -0.05, 0.2, 1.0
IPC033-289 v1,10.0,1.0,50.0,185.0,1.0,,,,,,,
IPC033-290 v1,21.0,,,225.0,,2.0,4.0,,,,,
IPC033-291 v1,1.0,,,161.0,48.0,2.0,,7.0,34.0,,,
IPC033-292 v1,2.0,,,199.0,3.0,7.0,7.0,,,25.0,10.0,1.0
IPC033-293 v1,1.0,,,198.0,2.0,9.0,9.0,,1.0,21.0,13.0,
IPC033-294 v1,,1.0,,190.0,23.0,8.0,6.0,,1.0,15.0,8.0,2.0
IPC033-295 v1,,,,235.0,,,17.0,,,,,2.0
IPC033-309 v1,1.0,,,233.0,3.0,2.0,,,,,,
MSE,0.053,,,,,,,,,,,
MAD,0.082,,,,,,,,,,,
