Question, -1.0, -0.71, -0.6, -0.5, -0.21, 0.0, 0.14, 0.29, -0.51, 0.71, 0.86, -0.01, -0.86, -0.09, 0.2, 0.57, 1.0, -0.29, -0.14, -0.31
IPC033-289 v1,1.0,9.0,1.0,3.0,47.0,62.0,15.0,109.0,,,,,,,,,,,,
IPC033-290 v1,,21.0,,,,122.0,1.0,101.0,2.0,4.0,1.0,,,,,,,,,
IPC033-291 v1,1.0,,,,34.0,62.0,3.0,144.0,2.0,,,7.0,,,,,,,,
IPC033-292 v1,,1.0,,,,180.0,1.0,20.0,7.0,7.0,,,1.0,25.0,10.0,1.0,1.0,,,
IPC033-293 v1,,,,,,171.0,,29.0,9.0,9.0,,,,21.0,13.0,,,1.0,1.0,
IPC033-294 v1,,,,,,146.0,,67.0,8.0,6.0,,,,15.0,8.0,,2.0,1.0,,1.0
IPC033-295 v1,,,,,,202.0,,30.0,,17.0,3.0,,,,,,2.0,,,
IPC033-309 v1,1.0,,,,,107.0,11.0,118.0,2.0,,,,,,,,,,,
MSE,0.058,,,,,,,,,,,,,,,,,,,
MAD,0.148,,,,,,,,,,,,,,,,,,,
