Question, -1.0, -0.67, -0.6, -0.5, -0.17, 0.0, 0.17, 0.33, -0.47, -0.33, 0.03, -0.83, -0.13, 0.2, 0.67, -0.27, 0.83, 1.0
IPC033-289 v1,1.0,24.0,1.0,3.0,47.0,47.0,15.0,109.0,,,,,,,,,,
IPC033-290 v1,,125.0,,,,16.0,2.0,105.0,2.0,2.0,,,,,,,,
IPC033-291 v1,1.0,24.0,,,34.0,38.0,3.0,144.0,2.0,,7.0,,,,,,,
IPC033-292 v1,,177.0,,,,4.0,2.0,28.0,42.0,,,1.0,,,,,,
IPC033-293 v1,,60.0,,,1.0,20.0,,33.0,21.0,92.0,,,13.0,9.0,5.0,,,
IPC033-294 v1,,46.0,,,,69.0,,72.0,19.0,32.0,,,9.0,3.0,3.0,1.0,,
IPC033-295 v1,,26.0,,,,153.0,,36.0,,23.0,,,,,7.0,,3.0,6.0
IPC033-309 v1,1.0,31.0,,,,76.0,11.0,118.0,2.0,,,,,,,,,
MSE,0.179,,,,,,,,,,,,,,,,,
MAD,0.347,,,,,,,,,,,,,,,,,
