sn_sm_rs,MSE,MAD
0_0_0,0.116,0.126
0_0_2,0.055,0.065
0_0_3,0.062,0.08
0_2_0,0.101,0.111
0_2_2,0.055,0.065
0_2_3,0.057,0.072
0_3_0,0.101,0.111
0_3_2,0.055,0.065
0_3_3,0.058,0.075
2_0_0,0.381,0.391
2_0_2,0.074,0.166
2_0_3,0.066,0.138
2_2_0,0.095,0.197
2_2_2,0.056,0.126
2_2_3,0.054,0.105
2_3_0,0.086,0.163
2_3_2,0.056,0.126
2_3_3,0.057,0.117
3_0_0,0.389,0.406
3_0_2,0.09,0.194
3_0_3,0.072,0.157
3_2_0,0.131,0.249
3_2_2,0.068,0.158
3_2_3,0.059,0.127
3_3_0,0.096,0.202
3_3_2,0.075,0.171
3_3_3,0.068,0.153
