sn_sm_rs,MSE,MAD
0_0_0,0.454,0.471
0_0_2,0.083,0.1
0_0_3,0.092,0.12
0_2_0,0.375,0.393
0_2_2,0.073,0.093
0_2_3,0.072,0.099
0_3_0,0.33,0.362
0_3_2,0.073,0.093
0_3_3,0.074,0.103
2_0_0,0.362,0.38
2_0_2,0.087,0.18
2_0_3,0.087,0.164
2_2_0,0.207,0.364
2_2_2,0.051,0.121
2_2_3,0.049,0.104
2_3_0,0.216,0.338
2_3_2,0.051,0.121
2_3_3,0.053,0.115
3_0_0,0.344,0.363
3_0_2,0.09,0.192
3_0_3,0.085,0.172
3_2_0,0.18,0.355
3_2_2,0.058,0.144
3_2_3,0.053,0.12
3_3_0,0.18,0.337
3_3_2,0.064,0.155
3_3_3,0.061,0.142
