Outcomes,,,Mean squared error,,,,,,,,
Syntax,All,All,231,All,All,All,All,All,All,All,All
0,0.454,0.454,0.871,0.454,0.454,0.454,0.454,0.454,0.454,0.454,0.454
0,0.083,0.083,0.178,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
0,0.092,0.092,0.178,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092
0,0.375,0.375,0.517,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
0,0.073,0.073,0.162,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073
0,0.072,0.072,0.159,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072
0,0.33,0.33,0.358,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
0,0.073,0.073,0.162,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073
0,0.074,0.074,0.159,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074
2,0.362,0.362,0.175,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362
2,0.087,0.087,0.167,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087
2,0.087,0.087,0.17,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087
2,0.207,0.207,0.222,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207
2,0.051,0.051,0.023,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051
2,0.049,0.049,0.015,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049
2,0.216,0.216,0.151,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216
2,0.051,0.051,0.023,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051
2,0.053,0.053,0.016,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053
3,0.344,0.344,0.046,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344
3,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3,0.085,0.085,0.127,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085
3,0.18,0.18,0.125,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
3,0.058,0.058,0.017,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058
3,0.053,0.053,0.016,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053
3,0.18,0.18,0.107,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
3,0.064,0.064,0.019,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064
3,0.061,0.061,0.016,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061
,,,,,,,,,,,
Outcomes,,,Mean average difference,,,,,,,,
Syntax,All,All,231,All,All,All,All,All,All,All,All
0,0.471,0.471,0.92,0.471,0.471,0.471,0.471,0.471,0.471,0.471,0.471
0,0.1,0.1,0.228,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.12,0.12,0.228,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0,0.393,0.393,0.566,0.393,0.393,0.393,0.393,0.393,0.393,0.393,0.393
0,0.093,0.093,0.212,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093
0,0.099,0.099,0.205,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099
0,0.362,0.362,0.458,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362
0,0.093,0.093,0.212,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093
0,0.103,0.103,0.207,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103
2,0.38,0.38,0.225,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
2,0.18,0.18,0.223,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
2,0.164,0.164,0.225,0.164,0.164,0.164,0.164,0.164,0.164,0.164,0.164
2,0.364,0.364,0.34,0.364,0.364,0.364,0.364,0.364,0.364,0.364,0.364
2,0.121,0.121,0.052,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121
2,0.104,0.104,0.045,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104
2,0.338,0.338,0.255,0.338,0.338,0.338,0.338,0.338,0.338,0.338,0.338
2,0.121,0.121,0.052,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121
2,0.115,0.115,0.049,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115
3,0.363,0.363,0.102,0.363,0.363,0.363,0.363,0.363,0.363,0.363,0.363
3,0.192,0.192,0.172,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192
3,0.172,0.172,0.194,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172
3,0.355,0.355,0.252,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355
3,0.144,0.144,0.051,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144
3,0.12,0.12,0.047,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
3,0.337,0.337,0.22,0.337,0.337,0.337,0.337,0.337,0.337,0.337,0.337
3,0.155,0.155,0.052,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155
3,0.142,0.142,0.048,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142
