Question, -0.8, -0.6, -0.47, 0.0, 0.33, -0.67, -0.33, -0.17, -0.27, -0.13, 0.08, -1.0, -0.5
IPC033-231 v1,15.0,2.0,2.0,45.0,1.0,,,,,,,,
IPC033-232 v1,1.0,,1.0,50.0,7.0,5.0,1.0,,,,,,
IPC033-233 v1,1.0,,3.0,44.0,13.0,2.0,,2.0,,,,,
IPC033-234 v1,,,4.0,22.0,34.0,1.0,,1.0,1.0,1.0,1.0,,
IPC033-235 v1,,,1.0,32.0,28.0,,,,,,1.0,3.0,
IPC033-236 v1,2.0,,2.0,23.0,36.0,1.0,,,,,,,1.0
IPC033-246 v1,1.0,,3.0,37.0,23.0,,,,,,,1.0,
IPC033-253 v1,1.0,,4.0,36.0,23.0,,,,,,1.0,,
MSE,0.087,,,,,,,,,,,,
MAD,0.18,,,,,,,,,,,,
