Question, -0.8, -0.05, 0.0, 0.03, 0.12, 0.17, 0.32, -0.17, -0.08, 0.83, -0.83, -0.63, -0.58, 0.42, -0.43, -0.33, -1.0, -0.72, -0.42, 0.08
IPC033-231 v1,1.0,4.0,45.0,2.0,10.0,1.0,2.0,,,,,,,,,,,,,
IPC033-232 v1,1.0,,51.0,1.0,,6.0,,4.0,1.0,1.0,,,,,,,,,,
IPC033-233 v1,1.0,,44.0,,,8.0,,,2.0,,1.0,3.0,1.0,5.0,,,,,,
IPC033-234 v1,,,22.0,,1.0,34.0,,,1.0,,1.0,4.0,,,1.0,1.0,,,,
IPC033-235 v1,,,32.0,,,25.0,,,1.0,,,1.0,,3.0,,,3.0,,,
IPC033-236 v1,1.0,,22.0,,,35.0,,,,,1.0,2.0,,1.0,,,,1.0,1.0,1.0
IPC033-246 v1,1.0,,35.0,,,21.0,,,,,,3.0,,2.0,,,1.0,,,2.0
IPC033-253 v1,1.0,,36.0,,,11.0,,,1.0,,,4.0,,12.0,,,,,,
MSE,0.053,,,,,,,,,,,,,,,,,,,
MAD,0.12,,,,,,,,,,,,,,,,,,,
