,Mean squared error,,,,,,,,
all,289,all,all,all,all,all,all,all,all
0.153,0.188,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153
0.078,0.09,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078
0.061,0.07,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061
0.153,0.188,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153
0.061,0.07,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061
0.065,0.07,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
,,,,,,,,,
,Mean average difference,,,,,,,,
all,289,all,all,all,all,all,all,all,all
0.246,0.331,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246
0.171,0.233,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171
0.144,0.206,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144
0.246,0.331,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246
0.144,0.206,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144
0.147,0.206,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147
