Question, -1.0, -0.6, -0.5, -0.38, 0.0, 0.12, 0.62, 0.75, -0.18, 0.5, 0.88, 0.25, 0.32, -0.88, 0.07, 0.2, 0.38, 1.0, -0.12, 0.03
IPC033-289 v1,1.0,1.0,3.0,9.0,62.0,62.0,108.0,1.0,,,,,,,,,,,,
IPC033-290 v1,,,,21.0,122.0,1.0,101.0,,2.0,1.0,4.0,,,,,,,,,
IPC033-291 v1,1.0,,,,62.0,1.0,96.0,48.0,2.0,,,36.0,7.0,,,,,,,
IPC033-292 v1,,,,1.0,180.0,1.0,17.0,3.0,7.0,,7.0,,,1.0,25.0,10.0,1.0,1.0,,
IPC033-293 v1,,,1.0,,171.0,,27.0,2.0,9.0,,9.0,,,,21.0,13.0,,,1.0,
IPC033-294 v1,,,,,146.0,,44.0,23.0,8.0,,6.0,,,,15.0,8.0,,2.0,1.0,1.0
IPC033-295 v1,,,,,202.0,,30.0,,,3.0,17.0,,,,,,,2.0,,
IPC033-309 v1,1.0,,,,107.0,11.0,115.0,3.0,2.0,,,,,,,,,,,
MSE,0.153,,,,,,,,,,,,,,,,,,,
MAD,0.246,,,,,,,,,,,,,,,,,,,
