,Mean squared error,,,,,,,,
all,231,all,all,all,all,all,all,all,all
0.154,0.041,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154
0.078,0.017,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078
0.061,0.016,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061
0.154,0.041,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154
0.061,0.016,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061
0.06,0.014,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
,,,,,,,,,
,Mean average difference,,,,,,,,
all,231,all,all,all,all,all,all,all,all
0.247,0.1,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247
0.173,0.05,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173
0.142,0.048,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142
0.247,0.1,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247
0.142,0.048,0.142,0.142,0.142,0.142,0.142,0.142,0.142,0.142
0.14,0.042,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
