Edit Distances,MSE,MAD
0_0,0.04,0.139
0_1,0.04,0.139
0_10,0.04,0.139
0_11,0.04,0.139
0_12,0.04,0.139
0_13,0.04,0.139
0_14,0.04,0.139
0_15,0.04,0.139
0_2,0.04,0.139
0_3,0.04,0.139
0_4,0.04,0.139
0_5,0.04,0.139
0_6,0.04,0.139
0_7,0.04,0.139
0_8,0.04,0.139
0_9,0.04,0.139
10_0,0.041,0.143
10_1,0.041,0.143
10_10,0.04,0.141
10_11,0.04,0.141
10_12,0.04,0.141
10_13,0.04,0.141
10_14,0.04,0.141
10_15,0.04,0.141
10_2,0.041,0.143
10_3,0.041,0.143
10_4,0.041,0.143
10_5,0.041,0.143
10_6,0.041,0.143
10_7,0.04,0.141
10_8,0.04,0.141
10_9,0.04,0.141
11_0,0.041,0.143
11_1,0.041,0.143
11_10,0.04,0.141
11_11,0.04,0.141
11_12,0.04,0.141
11_13,0.04,0.141
11_14,0.04,0.141
11_15,0.04,0.141
11_2,0.041,0.143
11_3,0.041,0.143
11_4,0.041,0.143
11_5,0.041,0.143
11_6,0.041,0.143
11_7,0.04,0.141
11_8,0.04,0.141
11_9,0.04,0.141
12_0,0.041,0.144
12_1,0.041,0.144
12_10,0.04,0.142
12_11,0.04,0.142
12_12,0.04,0.142
12_13,0.04,0.142
12_14,0.04,0.142
12_15,0.04,0.142
12_2,0.041,0.144
12_3,0.041,0.144
12_4,0.041,0.144
12_5,0.041,0.144
12_6,0.041,0.144
12_7,0.04,0.142
12_8,0.04,0.142
12_9,0.04,0.142
13_0,0.041,0.144
13_1,0.041,0.144
13_10,0.04,0.142
13_11,0.04,0.142
13_12,0.04,0.142
13_13,0.04,0.142
13_14,0.04,0.142
13_15,0.04,0.142
13_2,0.041,0.144
13_3,0.041,0.144
13_4,0.041,0.144
13_5,0.041,0.144
13_6,0.041,0.144
13_7,0.04,0.142
13_8,0.04,0.142
13_9,0.04,0.142
14_0,0.041,0.144
14_1,0.041,0.144
14_10,0.04,0.142
14_11,0.04,0.142
14_12,0.04,0.142
14_13,0.04,0.142
14_14,0.04,0.142
14_15,0.04,0.142
14_2,0.041,0.144
14_3,0.041,0.144
14_4,0.041,0.144
14_5,0.041,0.144
14_6,0.041,0.144
14_7,0.04,0.142
14_8,0.04,0.142
14_9,0.04,0.142
15_0,0.041,0.146
15_1,0.041,0.146
15_10,0.04,0.144
15_11,0.04,0.144
15_12,0.04,0.144
15_13,0.04,0.144
15_14,0.04,0.144
15_15,0.04,0.144
15_2,0.041,0.146
15_3,0.041,0.146
15_4,0.041,0.146
15_5,0.041,0.146
15_6,0.041,0.146
15_7,0.04,0.144
15_8,0.04,0.144
15_9,0.04,0.144
16_0,0.041,0.146
16_1,0.041,0.146
16_10,0.04,0.144
16_11,0.04,0.144
16_12,0.04,0.144
16_13,0.04,0.144
16_14,0.04,0.144
16_15,0.04,0.144
16_2,0.041,0.146
16_3,0.041,0.146
16_4,0.041,0.146
16_5,0.041,0.146
16_6,0.041,0.146
16_7,0.04,0.144
16_8,0.04,0.144
16_9,0.04,0.144
1_0,0.04,0.139
1_1,0.04,0.139
1_10,0.04,0.139
1_11,0.04,0.139
1_12,0.04,0.139
1_13,0.04,0.139
1_14,0.04,0.139
1_15,0.04,0.139
1_2,0.04,0.139
1_3,0.04,0.139
1_4,0.04,0.139
1_5,0.04,0.139
1_6,0.04,0.139
1_7,0.04,0.139
1_8,0.04,0.139
1_9,0.04,0.139
2_0,0.04,0.139
2_1,0.04,0.139
2_10,0.04,0.139
2_11,0.04,0.139
2_12,0.04,0.139
2_13,0.04,0.139
2_14,0.04,0.139
2_15,0.04,0.139
2_2,0.04,0.139
2_3,0.04,0.139
2_4,0.04,0.139
2_5,0.04,0.139
2_6,0.04,0.139
2_7,0.04,0.139
2_8,0.04,0.139
2_9,0.04,0.139
3_0,0.04,0.14
3_1,0.04,0.14
3_10,0.04,0.14
3_11,0.04,0.14
3_12,0.04,0.14
3_13,0.04,0.14
3_14,0.04,0.14
3_15,0.04,0.14
3_2,0.04,0.14
3_3,0.04,0.14
3_4,0.04,0.14
3_5,0.04,0.14
3_6,0.04,0.14
3_7,0.04,0.14
3_8,0.04,0.14
3_9,0.04,0.14
4_0,0.041,0.141
4_1,0.041,0.141
4_10,0.041,0.141
4_11,0.041,0.141
4_12,0.041,0.141
4_13,0.041,0.141
4_14,0.041,0.141
4_15,0.041,0.141
4_2,0.041,0.141
4_3,0.041,0.141
4_4,0.041,0.141
4_5,0.041,0.141
4_6,0.041,0.141
4_7,0.041,0.141
4_8,0.041,0.141
4_9,0.041,0.141
5_0,0.041,0.141
5_1,0.041,0.141
5_10,0.041,0.141
5_11,0.041,0.141
5_12,0.041,0.141
5_13,0.041,0.141
5_14,0.041,0.141
5_15,0.041,0.141
5_2,0.041,0.141
5_3,0.041,0.141
5_4,0.041,0.141
5_5,0.041,0.141
5_6,0.041,0.141
5_7,0.041,0.141
5_8,0.041,0.141
5_9,0.041,0.141
6_0,0.041,0.141
6_1,0.041,0.141
6_10,0.041,0.141
6_11,0.041,0.141
6_12,0.041,0.141
6_13,0.041,0.141
6_14,0.041,0.141
6_15,0.041,0.141
6_2,0.041,0.141
6_3,0.041,0.141
6_4,0.041,0.141
6_5,0.041,0.141
6_6,0.041,0.141
6_7,0.041,0.141
6_8,0.041,0.141
6_9,0.041,0.141
7_0,0.041,0.142
7_1,0.041,0.142
7_10,0.039,0.14
7_11,0.039,0.14
7_12,0.039,0.14
7_13,0.039,0.14
7_14,0.039,0.14
7_15,0.039,0.14
7_2,0.041,0.142
7_3,0.041,0.142
7_4,0.041,0.142
7_5,0.041,0.142
7_6,0.041,0.142
7_7,0.039,0.14
7_8,0.039,0.14
7_9,0.039,0.14
8_0,0.041,0.142
8_1,0.041,0.142
8_10,0.04,0.14
8_11,0.04,0.14
8_12,0.04,0.14
8_13,0.04,0.14
8_14,0.04,0.14
8_15,0.04,0.14
8_2,0.041,0.142
8_3,0.041,0.142
8_4,0.041,0.142
8_5,0.041,0.142
8_6,0.041,0.142
8_7,0.04,0.14
8_8,0.04,0.14
8_9,0.04,0.14
9_0,0.041,0.143
9_1,0.041,0.143
9_10,0.04,0.141
9_11,0.04,0.141
9_12,0.04,0.141
9_13,0.04,0.141
9_14,0.04,0.141
9_15,0.04,0.141
9_2,0.041,0.143
9_3,0.041,0.143
9_4,0.041,0.143
9_5,0.041,0.143
9_6,0.041,0.143
9_7,0.04,0.141
9_8,0.04,0.141
9_9,0.04,0.141
