Edit Distances,MSE,MAD
0_0,0.068,0.111
0_1,0.068,0.111
0_10,0.068,0.111
0_11,0.068,0.111
0_12,0.068,0.111
0_13,0.068,0.111
0_14,0.068,0.111
0_15,0.068,0.111
0_2,0.068,0.111
0_3,0.068,0.111
0_4,0.068,0.111
0_5,0.068,0.111
0_6,0.068,0.111
0_7,0.068,0.111
0_8,0.068,0.111
0_9,0.068,0.111
10_0,0.069,0.12
10_1,0.074,0.124
10_10,0.03,0.078
10_11,0.053,0.109
10_12,0.053,0.109
10_13,0.053,0.109
10_14,0.053,0.109
10_15,0.053,0.109
10_2,0.074,0.124
10_3,0.074,0.124
10_4,0.03,0.078
10_5,0.03,0.078
10_6,0.03,0.078
10_7,0.03,0.078
10_8,0.03,0.078
10_9,0.03,0.078
11_0,0.069,0.12
11_1,0.074,0.124
11_10,0.03,0.078
11_11,0.053,0.109
11_12,0.053,0.109
11_13,0.053,0.109
11_14,0.053,0.109
11_15,0.053,0.109
11_2,0.074,0.124
11_3,0.074,0.124
11_4,0.03,0.078
11_5,0.03,0.078
11_6,0.03,0.078
11_7,0.03,0.078
11_8,0.03,0.078
11_9,0.03,0.078
12_0,0.069,0.12
12_1,0.074,0.124
12_10,0.03,0.078
12_11,0.053,0.109
12_12,0.053,0.109
12_13,0.053,0.109
12_14,0.053,0.109
12_15,0.053,0.109
12_2,0.074,0.124
12_3,0.074,0.124
12_4,0.03,0.078
12_5,0.03,0.078
12_6,0.03,0.078
12_7,0.03,0.078
12_8,0.03,0.078
12_9,0.03,0.078
13_0,0.069,0.12
13_1,0.074,0.124
13_10,0.054,0.101
13_11,0.076,0.132
13_12,0.076,0.132
13_13,0.076,0.132
13_14,0.076,0.132
13_15,0.076,0.132
13_2,0.074,0.124
13_3,0.074,0.124
13_4,0.03,0.078
13_5,0.03,0.078
13_6,0.03,0.078
13_7,0.054,0.101
13_8,0.054,0.101
13_9,0.054,0.101
14_0,0.069,0.12
14_1,0.074,0.124
14_10,0.067,0.116
14_11,0.09,0.147
14_12,0.09,0.147
14_13,0.09,0.147
14_14,0.09,0.147
14_15,0.09,0.147
14_2,0.074,0.124
14_3,0.074,0.124
14_4,0.03,0.078
14_5,0.03,0.078
14_6,0.03,0.078
14_7,0.054,0.101
14_8,0.061,0.109
14_9,0.061,0.109
15_0,0.069,0.12
15_1,0.074,0.124
15_10,0.075,0.124
15_11,0.097,0.155
15_12,0.097,0.155
15_13,0.097,0.155
15_14,0.097,0.155
