Edit Distances,MSE,MAD
0_0,0.066,0.148
0_1,0.066,0.148
0_10,0.066,0.148
0_11,0.066,0.148
0_12,0.066,0.148
0_13,0.066,0.148
0_14,0.066,0.148
0_15,0.066,0.148
0_2,0.066,0.148
0_3,0.066,0.148
0_4,0.066,0.148
0_5,0.066,0.148
0_6,0.066,0.148
0_7,0.066,0.148
0_8,0.066,0.148
0_9,0.066,0.148
10_0,0.067,0.153
10_1,0.067,0.153
10_10,0.059,0.144
10_11,0.062,0.148
10_12,0.062,0.148
10_13,0.062,0.148
10_14,0.062,0.148
10_15,0.062,0.148
10_2,0.067,0.152
10_3,0.066,0.151
10_4,0.059,0.144
10_5,0.059,0.144
10_6,0.059,0.144
10_7,0.059,0.144
10_8,0.059,0.144
10_9,0.059,0.144
11_0,0.069,0.155
11_1,0.069,0.154
11_10,0.061,0.146
11_11,0.064,0.149
11_12,0.064,0.149
11_13,0.064,0.149
11_14,0.064,0.149
11_15,0.064,0.149
11_2,0.068,0.153
11_3,0.067,0.152
11_4,0.061,0.146
11_5,0.061,0.146
11_6,0.061,0.146
11_7,0.061,0.146
11_8,0.061,0.146
11_9,0.061,0.146
12_0,0.068,0.154
12_1,0.068,0.153
12_10,0.06,0.145
12_11,0.063,0.149
12_12,0.063,0.149
12_13,0.063,0.149
12_14,0.063,0.149
12_15,0.063,0.149
12_2,0.067,0.153
12_3,0.066,0.152
12_4,0.06,0.145
12_5,0.06,0.145
12_6,0.06,0.145
12_7,0.06,0.145
12_8,0.06,0.145
12_9,0.06,0.145
13_0,0.069,0.155
13_1,0.069,0.154
13_10,0.065,0.15
13_11,0.068,0.153
13_12,0.068,0.153
13_13,0.068,0.153
13_14,0.068,0.153
13_15,0.068,0.153
13_2,0.069,0.154
13_3,0.068,0.153
13_4,0.062,0.147
13_5,0.062,0.147
13_6,0.062,0.147
13_7,0.065,0.15
13_8,0.065,0.15
13_9,0.065,0.15
14_0,0.069,0.155
14_1,0.069,0.155
14_10,0.067,0.153
14_11,0.07,0.157
14_12,0.07,0.157
14_13,0.07,0.157
14_14,0.07,0.157
14_15,0.07,0.157
14_2,0.069,0.155
14_3,0.068,0.154
14_4,0.062,0.147
14_5,0.062,0.147
14_6,0.063,0.148
14_7,0.066,0.151
14_8,0.067,0.152
14_9,0.067,0.152
15_0,0.069,0.156
15_1,0.069,0.156
15_10,0.069,0.155
15_11,0.071,0.158
15_12,0.071,0.158
15_13,0.071,0.158
15_14,0.071,0.158
15_15,0.071,0.158
15_2,0.069,0.156
15_3,0.068,0.155
15_4,0.062,0.148
15_5,0.063,0.149
15_6,0.064,0.15
15_7,0.067,0.153
15_8,0.068,0.154
15_9,0.068,0.154
16_0,0.069,0.156
16_1,0.069,0.156
16_10,0.069,0.155
16_11,0.071,0.158
16_12,0.071,0.158
16_13,0.071,0.158
16_14,0.071,0.158
16_15,0.071,0.158
16_2,0.069,0.156
16_3,0.068,0.155
16_4,0.062,0.148
16_5,0.063,0.149
16_6,0.064,0.15
16_7,0.067,0.153
16_8,0.068,0.154
16_9,0.068,0.154
1_0,0.067,0.149
1_1,0.067,0.149
1_10,0.067,0.148
1_11,0.067,0.148
1_12,0.067,0.148
1_13,0.067,0.148
1_14,0.067,0.148
1_15,0.067,0.148
1_2,0.067,0.149
1_3,0.067,0.148
1_4,0.067,0.148
1_5,0.067,0.148
1_6,0.067,0.148
1_7,0.067,0.148
1_8,0.067,0.148
1_9,0.067,0.148
2_0,0.067,0.15
2_1,0.068,0.15
2_10,0.066,0.148
2_11,0.066,0.148
2_12,0.066,0.148
2_13,0.066,0.148
2_14,0.066,0.148
2_15,0.066,0.148
2_2,0.068,0.15
2_3,0.066,0.148
2_4,0.066,0.148
2_5,0.066,0.148
2_6,0.066,0.148
2_7,0.066,0.148
2_8,0.066,0.148
2_9,0.066,0.148
3_0,0.067,0.15
3_1,0.068,0.15
3_10,0.066,0.148
3_11,0.066,0.148
3_12,0.066,0.148
