Org Defined ID,Attempt #,Q #,Query,Grade,Out Of,Feedback
265,1,1g,SELECT Album.album_id FROM Album  Join Release ON Release.album_id = Album.album_id WHERE Release.country = 'Belgium';,1,1,"""🟢 Correct."""
266,1,1g,SELECT album_id FROM Release WHERE country = 'Belgium',1,1,"""🟢 Correct."""
267,1,1g,"""SELECT album_id FROM Album, Release WHERE Release.album_id = Album.album_id  AND Release.country = 'Belgium';""",0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'release', 
 ● Select 'album_id', 
 ● Filter data where country = Belgium

2️⃣ Correct Clauses:
✅ FROM clause
✅ WHERE clause

3️⃣ Issues found in the following clauses:
❌ SELECT clause

❗ Problem Details:
1. SELECT clause: 
● Mismatch in selected columns.
● Missing columns: 'album.album_id'.
● Extra columns: 'album_id'.


4️⃣ Next steps:
➡️ Add the missing columns: 'album.album_id' to your SELECT clause.
➡️ Remove the extra columns: 'album_id' from your SELECT clause.

"""
268,1,1g,SELECT album_id FROM Release WHERE country='Belgium';,1,1,"""🟢 Correct."""
269,1,1g,"""SELECT A.album_id FROM Album A, Release R WHERE A.album_id = R.album_id AND R.country = ´Belgium´;""",0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'SELECT A.album_id  FROM Album A, Release R WHERE A.Album_id = R.Album_id AND R.country = 'Belgium';'?
"""
270,1,1g,SELECT A.album_id FROM Album A JOIN Release R ON A.album_id = R.album_id WHERE R.country = 'Belgium';,1,1,"""🟢 Correct."""
271,1,1g,SELECT Release.album_id  FROM Release  WHERE Release.country = 'Belgium';,1,1,"""🟢 Correct."""
272,1,1g,"""SELECT album_id FROM Album, Release WHERE Album.album_id = Release.album_id AND Release.country = 'Belgium';""",0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'release', 
 ● Select 'album_id', 
 ● Filter data where country = Belgium

2️⃣ Correct Clauses:
✅ FROM clause
✅ WHERE clause

3️⃣ Issues found in the following clauses:
❌ SELECT clause

❗ Problem Details:
1. SELECT clause: 
● Mismatch in selected columns.
● Missing columns: 'album.album_id'.
● Extra columns: 'album_id'.


4️⃣ Next steps:
➡️ Add the missing columns: 'album.album_id' to your SELECT clause.
➡️ Remove the extra columns: 'album_id' from your SELECT clause.

"""
273,1,1g,SELECT R.album_id FROM Release R WHERE R.country = 'Belgium';,1,1,"""🟢 Correct."""
274,1,1g,SELECT album_id FROM Release WHERE country = 'Belgium';,1,1,"""🟢 Correct."""
275,1,1g,"""SELECT Album.album_id FROM Album, Release WHERE Album.album_id = Release.album_id AND Release.country = ´Belgium´;""",0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'SELECT Album.album_id FROM Album, Release WHERE Album.album_id = Release.album_id AND Release.country = 'Belgium';'?
"""
276,1,1g,SELECT album_id FROM Release WHERE country = 'Belgium';,1,1,"""🟢 Correct."""
277,1,1g,SELECT album_id FROM Release WHERE Release.country = 'Belgium';,1,1,"""🟢 Correct."""
278,1,1g,SELECT album_id FROM Release WHERE country='Belguim';,0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'SELECT album_id FROM Release WHERE country='Belgium';'?
"""
279,1,1g,SELECT album_id FROM Release WHERE country = 'Belgium';,1,1,"""🟢 Correct."""
280,1,1g,SELECT album_id FROM Release WHERE Release.country = 'Belgium';,1,1,"""🟢 Correct."""
281,1,1g,"""SELECT album_id  FROM Album, Release WHERE Album.album_id=Releas.album_id  AND country='Belgium';""",0.2,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'release', 
 ● Select 'album_id', 
 ● Filter data where country = Belgium

2️⃣ Correct Clauses:
✅ SELECT clause

3️⃣ Issues found in the following clauses:
❌ FROM clause
❌ WHERE clause

❗ Problem Details:
1. FROM clause: 
 ● Mismatch in FROM clause tables.
● Extra tables: 'album'.

2. WHERE clause: 
 ● Condition type mismatch: Expected SIMPLE, but found AND.


4️⃣ Next steps:
➡️ Check the FROM clause to ensure you are using the correct tables and joins as required.
➡️ Review your WHERE clause conditions to match the specified requirements.

"""
282,1,1g,"""SELECT DISTINCT album_id FROM Album, Release WHERE Album.album_id = Release.album_id AND country = 'Belgium';""",0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'release', 
 ● Select 'album_id', 
 ● Filter data where country = Belgium

2️⃣ Correct Clauses:
✅ FROM clause
✅ WHERE clause

3️⃣ Issues found in the following clauses:
❌ SELECT clause

❗ Problem Details:
1. SELECT clause: ● Unexpected DISTINCT keyword.

● Mismatch in selected columns.
● Missing columns: 'album.album_id'.
● Extra columns: 'album_id'.


4️⃣ Next steps:
➡️ Remove the DISTINCT keyword from your SELECT clause if duplicates are acceptable.
➡️ Add the missing columns: 'album.album_id' to your SELECT clause.
➡️ Remove the extra columns: 'album_id' from your SELECT clause.

"""
283,1,1g,SELECT Release.album_id FROM Release WHERE Release.country = 'Belgium',1,1,"""🟢 Correct."""
284,1,1g,"""SELECT A.album_id FROM Album A, Release R WHERE R.country = 'Belgium' AND A.album_id = R.album_id;""",1,1,"""🟢 Correct."""
285,1,1g,"""SELECT r.album_id FROM Release r WHERE r.country = """"Belgium"""";""",0.8857142857142857,1,"""Semantics minor error. Maybe you meant 'SELECT R.album_id FROM Release R WHERE R.country = 'Belgium';'?
"""
