Org Defined ID,Attempt #,Q #,Query,Grade,Out Of,Feedback
265,1,1k,"""SELECT Performs.role, COUNT(*) AS total JOIN Artist ON Artist.artist_ID = Performs.artist_id WHERE Performs.role = 'vocals' AND Artist.name = Artist.id AND total >= 3 ORDER BY total DESC;""",0,1,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
266,1,1k,"""SELECT A.name, COUNT(*) AS number FROM Artist A, Performs P WHERE A.artist_id = P.artist_id AND role = 'vocals' GROUP BY A.name HAVING number >= 3 ORDER BY number DESC""",0.3142857142857143,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'artist', 'performs' and 'track'
 ● Select 'artist.name' and 'count()'
 ● Filter data where (artist.artist_id = performs.artist_id and performs.track_id = track.track_id and performs.role = vocals)
 ●  Group the results by 'artist.name', 
 ● Filter grouped data having count() >= 3
 ● Sort the output data by 'count()()' descending, 

2️⃣ Correct Clauses:
✅ SELECT clause
✅ GROUP BY clause
✅ ORDER BY clause

3️⃣ Issues found in the following clauses:
❌ FROM clause
❌ WHERE clause
❌ HAVING clause

❗ Problem Details:
1. FROM clause: 
 ● Mismatch in FROM clause tables.
● Missing tables: 'track'.

2. WHERE clause: ● Number of conditions in AND clause mismatch. Expected 3, but found 2.

3. HAVING clause: ● Operands mismatch in condition 'count() >= 3'.
● Expected: 'count()' and '3'.
● Found: 'count()()' and '3'.


4️⃣ Next steps:
➡️ Check the FROM clause to ensure you are using the correct tables and joins as required.
➡️ Review your WHERE clause conditions to match the specified requirements.
➡️ Check the HAVING clause to make sure the conditions applied to the grouped data are correct.

"""
267,1,1k,"""SELECT name, COUNT(*) AS performed_tracks FROM Performs, Artist WHERE Performs.artist_id = Artist.artist_id AND Performs.role = 'vocals' GROUP BY name HAVING COUNT(*) >= 3 ORDER BY performed_tracks DESC;""",0.42857142857142855,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'artist', 'performs' and 'track'
 ● Select 'artist.name' and 'count()'
 ● Filter data where (artist.artist_id = performs.artist_id and performs.track_id = track.track_id and performs.role = vocals)
 ●  Group the results by 'artist.name', 
 ● Filter grouped data having count() >= 3
 ● Sort the output data by 'count()()' descending, 

2️⃣ Correct Clauses:
✅ SELECT clause
✅ GROUP BY clause
✅ HAVING clause
✅ ORDER BY clause

3️⃣ Issues found in the following clauses:
❌ FROM clause
❌ WHERE clause

❗ Problem Details:
1. FROM clause: 
 ● Mismatch in FROM clause tables.
● Missing tables: 'track'.

2. WHERE clause: ● Number of conditions in AND clause mismatch. Expected 3, but found 2.


4️⃣ Next steps:
➡️ Check the FROM clause to ensure you are using the correct tables and joins as required.
➡️ Review your WHERE clause conditions to match the specified requirements.

"""
268,1,1k,"""SELECT Artist.name, COUNT(Performs.artist_id WHERE Performs.artist_id=Artist.artist_id AND Perfroms.  ,   .  .  ..  .   .  ..  .;""",0,1,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
269,1,1k,"""SELECT A.name, COUNT(T.track_id) FROM Artist A, Track T, Performs P WHERE A.artist_id = P.artist_id AND T.track_id = P.track_id AND P.role = ´vocals´ AND COUNT(T.track_id) >= 3 DESC;""",0,1,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
270,1,1k,"""SELECT A.name, COUNT(P.track_id) AS num_tracks FROM Artist A JOIN Performs P ON P.artist_id = A.artist_id WHERE P.role = 'vocals' AND num_tracks >= 3 ORDER BY num_tracks DESC;""",0.05714285714285714,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'artist', 'performs' and 'track'
 ● Select 'artist.name' and 'count()'
 ● Filter data where (artist.artist_id = performs.artist_id and performs.track_id = track.track_id and performs.role = vocals)
 ●  Group the results by 'artist.name', 
 ● Filter grouped data having count() >= 3
 ● Sort the output data by 'count()()' descending, 

2️⃣ Correct Clauses:
●  None.

3️⃣ Issues found in the following clauses:
❌ SELECT clause
❌ FROM clause
❌ WHERE clause
❌ GROUP BY clause
❌ HAVING clause
❌ ORDER BY clause

❗ Problem Details:
1. SELECT clause: 
● Mismatch in selected functions.
● Missing functions: 'count()'.
● Extra functions: 'count(performs.track_id)'.

2. FROM clause: 
 ● Mismatch in FROM clause tables.
● Missing tables: 'track'.
● Joins: Mismatch in the number of joins.

3. WHERE clause: ● Number of conditions in AND clause mismatch. Expected 3, but found 2.

4. GROUP BY clause: GROUP BY clause missing
5. HAVING clause: Mismatch in HAVING clause presence.

6. ORDER BY clause: ● Order Item 1: Mismatch in expressions.


4️⃣ Next steps:
➡️ Add the missing functions: 'count()' to your SELECT clause.
➡️ Remove the extra functions: 'count(performs.track_id)' from your SELECT clause.
➡️ Check the FROM clause to ensure you are using the correct tables and joins as required.
➡️ Review your WHERE clause conditions to match the specified requirements.
➡️ Review the GROUP BY clause to ensure you are grouping by the correct columns or expressions.
➡️ Check the HAVING clause to make sure the conditions applied to the grouped data are correct.
➡️ Adjust the ORDER BY clause to sort the results as specified.

"""
271,1,1k,"""SELECT Artist.name COUNT(*) AS vocalperform FROM Artist  JOIN Performs ON Artist.artist_id = Performs.artist_id WHERE Performs.role = 'vocals' GROUP BY Artist.artist_id, Artist.name HAVING (SUM(*)) >=3 ORDER BY vocalperform DESC;""",0,1,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
272,1,1k,"""SELECT name, COUNT(track_id) AS count FROM Artist, Performs, Track WHERE Artist.artist_id = Performs.artist_id AND Performs.track_id = Track.track_id AND Performs.role = 'vocals' AND count >= 3 GROUP BY name ORDER BY count DESC;""",0.2,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'artist', 'performs' and 'track'
 ● Select 'artist.name' and 'count()'
 ● Filter data where (artist.artist_id = performs.artist_id and performs.track_id = track.track_id and performs.role = vocals)
 ●  Group the results by 'artist.name', 
 ● Filter grouped data having count() >= 3
 ● Sort the output data by 'count()()' descending, 

2️⃣ Correct Clauses:
✅ FROM clause
✅ GROUP BY clause

3️⃣ Issues found in the following clauses:
❌ SELECT clause
❌ WHERE clause
❌ HAVING clause
❌ ORDER BY clause

❗ Problem Details:
1. SELECT clause: 
● Mismatch in selected functions.
● Missing functions: 'count()'.
● Extra functions: 'count(track_id)'.

2. WHERE clause: ● Number of conditions in AND clause mismatch. Expected 3, but found 4.

3. HAVING clause: Mismatch in HAVING clause presence.

4. ORDER BY clause: ● Order Item 1: Mismatch in expressions.


4️⃣ Next steps:
➡️ Add the missing functions: 'count()' to your SELECT clause.
➡️ Remove the extra functions: 'count(track_id)' from your SELECT clause.
➡️ Review your WHERE clause conditions to match the specified requirements.
➡️ Check the HAVING clause to make sure the conditions applied to the grouped data are correct.
➡️ Adjust the ORDER BY clause to sort the results as specified.

"""
273,1,1k,"""SELECT Artist.name, COUNT(Performs.track_id) AS nr_tracks FROM Artist, Performs WHERE Performs.role    .  .   .        ;""",0,1,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
274,1,1k,"""SELECT A.name, COUNT(*) FROM Artist.A JOIN Performs P ON P.artist_id = A.artist_id WHERE P.role = 'vocals' GROUP BY A.name HAVING COUNT(*) >= 3 ORDER BY COUNT(*) DESC;""",0.2,1,"""1️⃣ Goal:
The query is supposed to: 
 ● Retrieve data from 'artist', 'performs' and 'track'
 ● Select 'artist.name' and 'count()'
 ● Filter data where (artist.artist_id = performs.artist_id and performs.track_id = track.track_id and performs.role = vocals)
 ●  Group the results by 'artist.name', 
 ● Filter grouped data having count() >= 3
 ● Sort the output data by 'count()()' descending, 

2️⃣ Correct Clauses:
✅ HAVING clause
✅ ORDER BY clause

3️⃣ Issues found in the following clauses:
❌ SELECT clause
❌ FROM clause
❌ WHERE clause
❌ GROUP BY clause

❗ Problem Details:
1. SELECT clause: 
● Mismatch in selected columns.
● Missing columns: 'artist.name'.
● Extra columns: 'a.name'.

2. FROM clause: 
 ● Mismatch in FROM clause tables.
● Missing tables: 'artist',  'track'.
● Extra tables: 'a'.
● Joins: Mismatch in the number of joins.

3. WHERE clause: 
 ● Condition type mismatch: Expected AND, but found SIMPLE.

4. GROUP BY clause: ● Columns: Mismatch in GROUP BY columns.


4️⃣ Next steps:
➡️ Add the missing columns: 'artist.name' to your SELECT clause.
➡️ Remove the extra columns: 'a.name' from your SELECT clause.
➡️ Check the FROM clause to ensure you are using the correct tables and joins as required.
➡️ Review your WHERE clause conditions to match the specified requirements.
➡️ Review the GROUP BY clause to ensure you are grouping by the correct columns or expressions.

"""
