Org Defined ID,Attempt #,Q #,Query,Grade,Out Of,Feedback
1,1,6,"""SELECT     Scientist.name,      COUNT(Teaches.student) AS student_count FROM      Scientist, Teaches WHERE      Scientist.id = Teaches.advisor GROUP BY      Scientist.id, Scientist.name ORDER BY      student_count DESC;""",0.5428571428571428,1,"""### Goal:
The goal is to retrieve data from 2 tables; select 2 columns; filter data based on certain conditions; group the results by 1 element; sort the output data by 1 column; 

### Detailed Feedback:
You have correctly constructed the following clauses:
- SELECT clause
- FROM clause
- WHERE clause
- ORDER BY clause

There are issues with the following clauses:
- GROUP BY clause

Details of the problems:
GROUP BY clause: Columns: Mismatch in GROUP BY columns.


Next steps:
- Review the GROUP BY clause to ensure you are grouping by the correct columns or expressions.

"""
2,1,6,"""SELECT Scientist.name, COUNT(*) FROM Scientist, Teaches WHERE Scientist.id = Teaches.advisor  GROUP BY Scientist.name ORDER BY COUNT(*) DESC;""",1,1,"""Correct."""
4,1,6,"""SELECT Scientist.name, COUNT (Scientist.name) FROM Scientist, Teaches WHERE Scientist.id=Teaches.advisor GROUP BY Scientist.name ORDER BY COUNT(Scientist.name) DESC;""",1,1,"""Correct."""
5,1,6,"""SELECT name, COUNT(student) AS student_count FROM Scientist JOIN Teaches ON id advisor GROUP BY name ORDER BY student_count DESC;""",0,1,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
7,1,6,"""SELECT s.name, COUNT(t.student) AS number_of_students FROM Scientist s LEFT JOIN Teaches t ON s.id = t.advisor GROUP BY s.name ORDER BY number_of_students DESC;""",0.42857142857142855,1,"""### Goal:
The goal is to retrieve data from 2 tables; select 2 columns; filter data based on certain conditions; group the results by 1 element; sort the output data by 1 column; 

### Detailed Feedback:
You have correctly constructed the following clauses:
- SELECT clause
- GROUP BY clause
- ORDER BY clause

There are issues with the following clauses:
- FROM clause
- WHERE clause

Details of the problems:
FROM clause: Joins: Mismatch in the number of joins.

WHERE clause: Mismatch in WHERE clause presence.


Next steps:
- Check the FROM clause to ensure you are using the correct tables and joins as required.
- Add a WHERE clause to filter the data as specified.

"""
8,1,6,"""SELECT S.name, COUNT(*) FROM Scientist S, Teaches T WHERE S.id=T.advisor GROUP BY S.name ORDER BY COUNT(*) DESC;""",1,1,"""Correct."""
9,1,6,"""SELECT S.name AS scientist_name, COUNT(T.student) AS num_students FROM Scientist S LEFT JOIN Teaches T ON S.id = T.advisor GROUP BY S.id, S.name ORDER BY num_students DESC;""",0.3142857142857143,1,"""### Goal:
The goal is to retrieve data from 2 tables; select 2 columns; filter data based on certain conditions; group the results by 1 element; sort the output data by 1 column; 

### Detailed Feedback:
You have correctly constructed the following clauses:
- SELECT clause
- ORDER BY clause

There are issues with the following clauses:
- FROM clause
- WHERE clause
- GROUP BY clause

Details of the problems:
FROM clause: Joins: Mismatch in the number of joins.

WHERE clause: Mismatch in WHERE clause presence.

GROUP BY clause: Columns: Mismatch in GROUP BY columns.


Next steps:
- Check the FROM clause to ensure you are using the correct tables and joins as required.
- Add a WHERE clause to filter the data as specified.
- Review the GROUP BY clause to ensure you are grouping by the correct columns or expressions.

"""
10,1,6,,0,1,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
11,1,6,"""SELECT Scientist.name, COUNT(Teaches.student) AS num_students FROM Scientist JOIN Teaches ON Scientist.id = Teaches.advisor GROUP BY Scientist.id, Scientist.name ORDER BY num_students DESC;""",0.42857142857142855,1,"""### Goal:
The goal is to retrieve data from 2 tables; select 2 columns; filter data based on certain conditions; group the results by 1 element; sort the output data by 1 column; 

### Detailed Feedback:
You have correctly constructed the following clauses:
- SELECT clause
- FROM clause
- ORDER BY clause

There are issues with the following clauses:
- GROUP BY clause

Details of the problems:
GROUP BY clause: Columns: Mismatch in GROUP BY columns.


Next steps:
- Review the GROUP BY clause to ensure you are grouping by the correct columns or expressions.

"""
12,1,6,"""SELECT name, COUNT (*) AS total FROM Scientist, Teaches WHERE Scientist.id = Teaches.advisor GROUP BY name ORDER BY total DESC;""",1,1,"""Correct."""
13,1,6,"""SELECT S.name, COUNT(T.student) FROM Scientist S JOIN Teaches T ON S.id = T.advisor GROUP BY S.name ORDER BY COUNT(T.student) DESC;""",1,1,"""Correct."""
14,1,6,,0,1,"""The query is not parseable. Therefore, the semantics could not be verified.
"""
